2024-06-10 13:56:18
2.329: SRC: 0x52, DST: 0x53, MESS: PDI 2B2E3E26
2.330: SRC: 0x53, DST: 0x52, MESS: PDI 2B2E3E26
2.377: SRC: 0x52, DST: 0x0, MESS: PDI 2B2C2E
2.378: SRC: 0x53, DST: 0x0, MESS: PDI 2B2C2E
2.379: SRC: 0x52, DST: 0x53, MESS: PDI 2A2E3E26
2.380: SRC: 0x53, DST: 0x52, MESS: PDI 2B2E3E26
2.427: SRC: 0x52, DST: 0x0, MESS: PDI 2A2C2E
2.427: SRC: 0x53, DST: 0x0, MESS: PDI 2A2C2E
2.428: SRC: 0x52, DST: 0x53, MESS: PDI 2A2E3E26
2.429: SRC: 0x53, DST: 0x52, MESS: PDI 2A2E3E26
2.477: SRC: 0x52, DST: 0x0, MESS: PDI 2A2C2E
2.477: SRC: 0x53, DST: 0x0, MESS: PDI 2A2C2E
2.478: SRC: 0x52, DST: 0x53, MESS: PDI 2A2E3E26
2.479: SRC: 0x53, DST: 0x52, MESS: PDI 2A2E3E26
2.527: SRC: 0x52, DST: 0x0, MESS: PDI 2A2C2E
2.528: SRC: 0x53, DST: 0x0, MESS: PDI 2A2C2E
2.528: SRC: 0x52, DST: 0x53, MESS: PDI 2A2E3E26
2.529: SRC: 0x53, DST: 0x52, MESS: PDI 2A2E3E26
2.577: SRC: 0x1, DST: 0x52, MESS: GGS
2.578: SRC: 0x1, DST: 0x53, MESS: GGS
2.579: SRC: 0x52, DST: 0x1, MESS: R00 11 0
2.580: SRC: 0x53, DST: 0x1, MESS: R00 11 0
2.580: SRC: 0x1, DST: 0x52, MESS: IGI 1
2.581: SRC: 0x1, DST: 0x53, MESS: IGI 1
2.582: SRC: 0x52, DST: 0x1, MESS: R00 0
2.582: SRC: 0x53, DST: 0x1, MESS: R00 0
2.583: SRC: 0x52, DST: 0x0, MESS: PDI 2A2C2E
2.584: SRC: 0x53, DST: 0x0, MESS: PDI 2A2C2E
2.584: SRC: 0x52, DST: 0x53, MESS: PDI 2A2E3E26
2.585: SRC: 0x53, DST: 0x52, MESS: PDI 2A2E3E26
2.627: SRC: 0x52, DST: 0x0, MESS: PDI 2A2C2E
2.628: Stop
2.628: Stop
2.628: Stop
2.629: Stop
2.629: SRC: 0x53, DST: 0x0, MESS: PDI 2A2C2E
2.630: SRC: 0x52, DST: 0x53, MESS: PDI 2A2E3E26
2.630: SRC: 0x53, DST: 0x52, MESS: PDI 2A2E3E26
2.676: SRC: 0x52, DST: 0x0, MESS: PDI 2A2C2E
2.677: SRC: 0x53, DST: 0x0, MESS: PDI 2A2C2E
2.677: SRC: 0x52, DST: 0x53, MESS: PDI 2A2E3E26
2.678: SRC: 0x53, DST: 0x52, MESS: PDI 2A2E3E26
2.723: SRC: 0x53, DST: 0x52, MESS: GSO 3
2.724: SRC: 0x52, DST: 0x53, MESS: GSO 3
2.725: SRC: 0x53, DST: 0x52, MESS: R00 - OK
2.725: SRC: 0x52, DST: 0x53, MESS: R00 - OK
2.726: SRC: 0x52, DST: 0x0, MESS: PDI 2A2C2E
2.726: SRC: 0x53, DST: 0x0, MESS: PDI 2A2C2E
2.727: SRC: 0x52, DST: 0x53, MESS: PDI 2A2E3F26
2.727: SRC: 0x53, DST: 0x52, MESS: PDI 2A2E3F26
2.777: SRC: 0x52, DST: 0x0, MESS: PDI 2A2C2E
2.778: SRC: 0x53, DST: 0x0, MESS: PDI 2A2C2E
2.779: SRC: 0x52, DST: 0x53, MESS: PDI 2A2E3F26
2.779: SRC: 0x53, DST: 0x52, MESS: PDI 2A2E3F26
2.827: SRC: 0x52, DST: 0x0, MESS: PDI 2A2C2E
2.828: SRC: 0x53, DST: 0x0, MESS: PDI 2A2C2E
2.828: SRC: 0x52, DST: 0x53, MESS: PDI 2A2E3F26
2.829: SRC: 0x53, DST: 0x52, MESS: PDI 2A2E3F26
2.877: SRC: 0x52, DST: 0x0, MESS: PDI 2A2C2E
2.878: SRC: 0x53, DST: 0x0, MESS: PDI 2A2C2E
2.879: SRC: 0x52, DST: 0x53, MESS: PDI 2A2E3F26
2.879: SRC: 0x53, DST: 0x52, MESS: PDI 2A2E3F26
2.927: SRC: 0x52, DST: 0x0, MESS: PDI 2A2C2E
2.928: SRC: 0x53, DST: 0x0, MESS: PDI 2A2C2E
2.928: SRC: 0x52, DST: 0x53, MESS: PDI 2A2E3F26
2.929: SRC: 0x53, DST: 0x52, MESS: PDI 2A2E3F26
2.978: SRC: 0x1, DST: 0x52, MESS: GGS
