2023-12-14 13:50:27
-0.000: SRC: 0x52, DST: 0x1, MESS: R00 - OK
1.868: SRC: 0x53, DST: 0x0, MESS: PDI 2A2C2E
1.869: SRC: 0x53, DST: 0x52, MESS: PDI 2A2E3F26
1.892: SRC: 0x52, DST: 0x0, MESS: PDI 2A2C2E
1.892: SRC: 0x52, DST: 0x53, MESS: PDI 2A2E3F26
1.918: SRC: 0x53, DST: 0x0, MESS: PDI 2A2C2E
1.918: SRC: 0x53, DST: 0x52, MESS: PDI 2A2E3F26
1.942: SRC: 0x52, DST: 0x0, MESS: PDI 2A2C2E
1.942: SRC: 0x52, DST: 0x53, MESS: PDI 2A2E3F26
1.968: SRC: 0x53, DST: 0x0, MESS: PDI 2A2C2E
1.968: SRC: 0x53, DST: 0x52, MESS: PDI 2A2E3F26
1.992: SRC: 0x52, DST: 0x0, MESS: PDI 2A2C2E
1.992: SRC: 0x52, DST: 0x53, MESS: PDI 2A2E3F26
2.018: SRC: 0x53, DST: 0x0, MESS: PDI 2A2C2E
2.018: SRC: 0x53, DST: 0x52, MESS: PDI 2A2E3F26
2.042: SRC: 0x52, DST: 0x0, MESS: PDI 2A2C2E
2.042: SRC: 0x52, DST: 0x53, MESS: PDI 2A2E3F26
2.068: SRC: 0x53, DST: 0x0, MESS: PDI 2A2C2E
2.068: SRC: 0x53, DST: 0x52, MESS: PDI 2A2E3F26
2.092: SRC: 0x52, DST: 0x0, MESS: PDI 2A2C2E
2.092: SRC: 0x52, DST: 0x53, MESS: PDI 2A2E3F26
2.118: SRC: 0x53, DST: 0x0, MESS: PDI 2A2C2E
2.118: SRC: 0x53, DST: 0x52, MESS: PDI 2A2E3F26
2.143: SRC: 0x52, DST: 0x0, MESS: PDI 2A2C2E
2.143: SRC: 0x52, DST: 0x53, MESS: PDI 2A2E3F26
2.168: SRC: 0x53, DST: 0x0, MESS: PDI 2A2C2E
2.168: SRC: 0x53, DST: 0x52, MESS: PDI 2A2E3F26
2.193: SRC: 0x52, DST: 0x0, MESS: PDI 2A2C2E
2.193: SRC: 0x52, DST: 0x53, MESS: PDI 2A2E3F26
2.218: SRC: 0x53, DST: 0x0, MESS: PDI 2A2C2E
2.218: SRC: 0x53, DST: 0x52, MESS: PDI 2A2E3F26
2.242: SRC: 0x52, DST: 0x0, MESS: PDI 2A2C2E
2.243: SRC: 0x52, DST: 0x53, MESS: PDI 2A2E3F26
2.268: SRC: 0x53, DST: 0x0, MESS: PDI 2A2C2E
2.268: SRC: 0x53, DST: 0x52, MESS: PDI 2A2E3F26
2.293: SRC: 0x52, DST: 0x0, MESS: PDI 2A2C2E
2.293: SRC: 0x52, DST: 0x53, MESS: PDI 2A2E3F26
2.317: SRC: 0x53, DST: 0x0, MESS: PDI 2A2C2E
2.318: SRC: 0x53, DST: 0x52, MESS: PDI 2A2E3F26
2.342: SRC: 0x52, DST: 0x0, MESS: PDI 2A2C2E
2.343: SRC: 0x52, DST: 0x53, MESS: PDI 2A2E3F26
2.368: SRC: 0x53, DST: 0x0, MESS: PDI 2A2C2E
2.368: SRC: 0x53, DST: 0x52, MESS: PDI 2A2E3F26
2.393: SRC: 0x52, DST: 0x0, MESS: PDI 2A2C2E
2.393: SRC: 0x52, DST: 0x53, MESS: PDI 2A2E3F26
2.418: SRC: 0x53, DST: 0x0, MESS: PDI 2A2C2E
2.418: SRC: 0x53, DST: 0x52, MESS: PDI 2A2E3F26
2.442: SRC: 0x52, DST: 0x0, MESS: PDI 2A2C2E
2.442: SRC: 0x52, DST: 0x53, MESS: PDI 2A2E3F26
2.467: SRC: 0x53, DST: 0x0, MESS: PDI 2A2C2E
2.468: SRC: 0x53, DST: 0x52, MESS: PDI 2A2E3F26
2.492: SRC: 0x52, DST: 0x0, MESS: PDI 2A2C2E
2.493: SRC: 0x52, DST: 0x53, MESS: PDI 2A2E3F26
2.518: SRC: 0x53, DST: 0x0, MESS: PDI 2A2C2E
2.519: SRC: 0x53, DST: 0x52, MESS: PDI 2A2E3F26
2.542: SRC: 0x52, DST: 0x0, MESS: PDI 2A2C2E
2.543: SRC: 0x52, DST: 0x53, MESS: PDI 2A2E3F26
2.568: SRC: 0x53, DST: 0x0, MESS: PDI 2A2C2E
2.569: SRC: 0x53, DST: 0x52, MESS: PDI 2A2E3F26
2.592: SRC: 0x52, DST: 0x0, MESS: PDI 2A2C2E
2.592: SRC: 0x52, DST: 0x53, MESS: PDI 2A2E3F26
2.618: SRC: 0x53, DST: 0x0, MESS: PDI 2A2C2E
2.618: SRC: 0x53, DST: 0x52, MESS: PDI 2A2E3F26
2.642: SRC: 0x52, DST: 0x0, MESS: PDI 2A2C2E
2.642: SRC: 0x52, DST: 0x53, MESS: PDI 2A2E3F26
2.668: SRC: 0x53, DST: 0x0, MESS: PDI 2A2C2E
2.668: SRC: 0x53, DST: 0x52, MESS: PDI 2A2E3F26
2.692: SRC: 0x52, DST: 0x0, MESS: PDI 2A2C2E
2.692: SRC: 0x52, DST: 0x53, MESS: PDI 2A2E3F26
2.718: SRC: 0x53, DST: 0x0, MESS: PDI 2A2C2E
